PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Camping Equipment,Female,30,Married,Executive
Golf Equipment,Male,45,Married,Other
Golf Equipment,Male,45,Married,Other
Golf Equipment,Male,45,Married,Other
Camping Equipment,Female,31,Married,Other
Camping Equipment,Female,31,Married,Other
Camping Equipment,Female,31,Married,Other
Personal Accessories,Male,25,Single,Other
Camping Equipment,Female,31,Married,Executive
Personal Accessories,Female,21,Married,Other
Personal Accessories,Female,21,Single,Retail
Camping Equipment,Male,36,Married,Other
Camping Equipment,Male,36,Married,Other
Camping Equipment,Male,36,Married,Other
Camping Equipment,Male,44,Married,Trades
Golf Equipment,Female,37,Unspecified,Hospitality
Mountaineering Equipment,Male,41,Married,Other
Mountaineering Equipment,Male,43,Married,Executive
Camping Equipment,Male,43,Married,Executive
Personal Accessories,Female,29,Single,Sales
Camping Equipment,Male,33,Married,Sales
Camping Equipment,Male,36,Married,Sales
Personal Accessories,Female,26,Married,Executive
Personal Accessories,Female,37,Married,Executive
Outdoor Protection,Female,22,Married,Retail
Camping Equipment,Male,33,Married,Other
Golf Equipment,Male,59,Unspecified,Other
Personal Accessories,Male,59,Unspecified,Other
Camping Equipment,Female,37,Unspecified,Hospitality
Camping Equipment,Female,40,Unspecified,Hospitality
Camping Equipment,Female,40,Unspecified,Hospitality
Camping Equipment,Female,40,Unspecified,Hospitality
Camping Equipment,Female,40,Unspecified,Hospitality
Camping Equipment,Male,44,Married,Executive
Camping Equipment,Male,44,Married,Executive
Personal Accessories,Female,25,Single,Retail
Camping Equipment,Male,21,Single,Other
Camping Equipment,Female,31,Married,Hospitality
Camping Equipment,Female,43,Unspecified,Hospitality
Camping Equipment,Female,43,Unspecified,Hospitality
Camping Equipment,Male,37,Married,Other
Camping Equipment,Male,37,Married,Other
Camping Equipment,Female,28,Married,Executive
Personal Accessories,Female,38,Single,Professional
Camping Equipment,Male,30,Single,Professional
Camping Equipment,Male,30,Single,Professional
Camping Equipment,Male,19,Single,Professional
Mountaineering Equipment,Male,36,Unspecified,Trades
Mountaineering Equipment,Male,36,Unspecified,Trades
Personal Accessories,Male,36,Unspecified,Trades
Personal Accessories,Female,25,Single,Other
Camping Equipment,Female,26,Married,Retail
Camping Equipment,Female,26,Married,Retail
Personal Accessories,Male,35,Married,Other
Camping Equipment,Female,42,Unspecified,Hospitality
Camping Equipment,Female,42,Unspecified,Hospitality
Mountaineering Equipment,Male,23,Single,Professional
Mountaineering Equipment,Male,23,Single,Professional
Camping Equipment,Male,28,Single,Executive
Camping Equipment,Female,35,Unspecified,Hospitality
Camping Equipment,Female,35,Unspecified,Hospitality
Personal Accessories,Female,21,Single,Professional
Personal Accessories,Female,18,Single,Retail
Camping Equipment,Male,41,Married,Other
Mountaineering Equipment,Male,38,Single,Professional
Camping Equipment,Female,35,Married,Other
Camping Equipment,Female,35,Married,Other
Camping Equipment,Female,35,Married,Other
Golf Equipment,Female,52,Married,Other
Golf Equipment,Female,52,Married,Other
Camping Equipment,Male,39,Married,Trades
Personal Accessories,Female,38,Married,Professional
Camping Equipment,Male,26,Single,Professional
Camping Equipment,Male,26,Single,Professional
Camping Equipment,Male,26,Single,Professional
Camping Equipment,Female,25,Married,Executive
Mountaineering Equipment,Female,25,Married,Executive
Camping Equipment,Male,19,Single,Other
Camping Equipment,Male,19,Single,Other
Personal Accessories,Female,28,Single,Student
Personal Accessories,Female,40,Married,Other
Camping Equipment,Male,33,Single,Professional
Camping Equipment,Male,33,Single,Professional
Personal Accessories,Female,31,Single,Professional
Mountaineering Equipment,Female,20,Single,Student
Camping Equipment,Male,25,Married,Professional
Golf Equipment,Male,25,Married,Professional
Camping Equipment,Male,34,Married,Other
Golf Equipment,Male,47,Unspecified,Other
Golf Equipment,Male,47,Unspecified,Other
Mountaineering Equipment,Male,29,Single,Other
Camping Equipment,Female,34,Married,Other
Camping Equipment,Female,26,Married,Other
Camping Equipment,Male,30,Married,Sales
Personal Accessories,Male,33,Married,Other
Personal Accessories,Female,18,Single,Other
Camping Equipment,Female,49,Unspecified,Hospitality
Golf Equipment,Female,49,Unspecified,Hospitality
Camping Equipment,Male,24,Single,Professional
Camping Equipment,Male,24,Single,Professional
Personal Accessories,Female,35,Single,Other
Golf Equipment,Male,54,Married,Professional
Golf Equipment,Male,54,Married,Professional
Camping Equipment,Male,43,Married,Executive
Camping Equipment,Male,43,Married,Executive
Mountaineering Equipment,Male,43,Married,Executive
Personal Accessories,Female,22,Single,Retail
Personal Accessories,Female,58,Married,Retired
Camping Equipment,Male,35,Married,Sales
Personal Accessories,Female,37,Single,Retail
Personal Accessories,Female,26,Single,Retail
Personal Accessories,Female,30,Single,Other
Camping Equipment,Male,39,Married,Trades
Camping Equipment,Male,39,Single,Professional
Camping Equipment,Male,31,Married,Other
Mountaineering Equipment,Female,28,Married,Professional
Mountaineering Equipment,Female,28,Married,Professional
Mountaineering Equipment,Female,28,Married,Professional
Personal Accessories,Female,28,Married,Professional
Personal Accessories,Female,20,Single,Professional
Camping Equipment,Female,23,Single,Other
Camping Equipment,Female,23,Single,Other
Personal Accessories,Male,29,Single,Other
Camping Equipment,Male,39,Married,Executive
Personal Accessories,Male,39,Married,Executive
Golf Equipment,Male,39,Married,Executive
Golf Equipment,Male,39,Married,Executive
Golf Equipment,Male,39,Married,Executive
Personal Accessories,Female,61,Unspecified,Hospitality
Outdoor Protection,Female,61,Unspecified,Hospitality
Outdoor Protection,Male,19,Single,Student
Camping Equipment,Male,35,Married,Executive
Personal Accessories,Female,26,Married,Executive
Personal Accessories,Female,45,Married,Sales
Personal Accessories,Female,37,Single,Retail
Mountaineering Equipment,Male,41,Single,Other
Camping Equipment,Female,41,Married,Other
Camping Equipment,Male,34,Married,Trades
Camping Equipment,Male,34,Married,Trades
Camping Equipment,Male,34,Married,Trades
Camping Equipment,Male,30,Married,Sales
Mountaineering Equipment,Male,35,Single,Professional
Personal Accessories,Female,47,Married,Professional
Personal Accessories,Female,46,Unspecified,Hospitality
Mountaineering Equipment,Female,45,Unspecified,Hospitality
Mountaineering Equipment,Male,42,Married,Other
Personal Accessories,Male,42,Married,Other
Mountaineering Equipment,Male,20,Single,Other
Camping Equipment,Male,20,Single,Other
Personal Accessories,Female,32,Single,Professional
Mountaineering Equipment,Male,24,Single,Retail
Camping Equipment,Male,42,Married,Executive
Camping Equipment,Male,42,Married,Executive
Camping Equipment,Male,28,Married,Professional
Personal Accessories,Male,28,Married,Professional
Golf Equipment,Male,28,Married,Professional
Golf Equipment,Male,28,Married,Professional
Camping Equipment,Male,41,Married,Executive
Mountaineering Equipment,Male,25,Single,Sales
Camping Equipment,Male,25,Single,Sales
Personal Accessories,Female,38,Single,Professional
Camping Equipment,Male,27,Married,Other
Camping Equipment,Male,29,Married,Sales
Mountaineering Equipment,Male,28,Single,Professional
Personal Accessories,Male,28,Single,Professional
Mountaineering Equipment,Male,26,Single,Professional
Mountaineering Equipment,Male,26,Single,Professional
Personal Accessories,Female,26,Single,Other
Camping Equipment,Female,41,Married,Other
Camping Equipment,Female,41,Married,Other
Camping Equipment,Male,21,Single,Other
Camping Equipment,Male,32,Married,Sales
Camping Equipment,Male,23,Single,Sales
Camping Equipment,Female,43,Married,Other
Personal Accessories,Female,19,Single,Student
Camping Equipment,Male,25,Single,Other
Personal Accessories,Male,27,Married,Other
Mountaineering Equipment,Male,24,Single,Retail
Mountaineering Equipment,Female,32,Married,Professional
Personal Accessories,Female,56,Married,Retired
Camping Equipment,Female,29,Single,Other
Camping Equipment,Female,29,Single,Other
Personal Accessories,Female,40,Married,Sales
Mountaineering Equipment,Male,29,Single,Trades
Mountaineering Equipment,Male,29,Single,Trades
Personal Accessories,Male,29,Single,Trades
Camping Equipment,Male,30,Married,Other
Camping Equipment,Male,30,Married,Other
Mountaineering Equipment,Male,30,Married,Other
Personal Accessories,Female,25,Single,Retail
Personal Accessories,Female,62,Unspecified,Hospitality
Outdoor Protection,Female,62,Unspecified,Hospitality
Golf Equipment,Female,39,Single,Retail
Mountaineering Equipment,Female,21,Single,Professional
Personal Accessories,Female,33,Single,Professional
Personal Accessories,Female,27,Single,Other
Camping Equipment,Male,43,Married,Other
Camping Equipment,Male,22,Single,Trades
Mountaineering Equipment,Male,49,Unspecified,Trades
Mountaineering Equipment,Male,49,Unspecified,Trades
Camping Equipment,Male,49,Unspecified,Trades
Golf Equipment,Male,34,Single,Professional
Camping Equipment,Male,34,Single,Professional
Camping Equipment,Male,27,Single,Professional
Mountaineering Equipment,Male,20,Single,Sales
Mountaineering Equipment,Male,20,Single,Sales
Golf Equipment,Male,58,Married,Other
Personal Accessories,Female,28,Single,Professional
Personal Accessories,Female,45,Married,Retired
Outdoor Protection,Female,45,Married,Retired
Camping Equipment,Female,36,Married,Other
Camping Equipment,Female,36,Married,Executive
Camping Equipment,Female,37,Married,Retail
Camping Equipment,Female,37,Married,Retail
Camping Equipment,Female,37,Married,Retail
Outdoor Protection,Female,37,Married,Retail
Personal Accessories,Female,37,Married,Retail
Personal Accessories,Female,32,Married,Professional
Personal Accessories,Female,25,Single,Student
Golf Equipment,Male,54,Married,Retired
Personal Accessories,Male,33,Single,Trades
Mountaineering Equipment,Male,31,Single,Other
Personal Accessories,Female,29,Married,Executive
Camping Equipment,Female,35,Unspecified,Hospitality
Personal Accessories,Male,27,Single,Professional
Mountaineering Equipment,Male,43,Unspecified,Trades
Mountaineering Equipment,Male,30,Single,Other
Mountaineering Equipment,Male,30,Single,Other
Personal Accessories,Male,30,Single,Other
Mountaineering Equipment,Male,24,Single,Sales
Camping Equipment,Male,29,Unspecified,Sales
Mountaineering Equipment,Male,29,Unspecified,Sales
Camping Equipment,Male,35,Married,Other
Camping Equipment,Male,35,Married,Other
Camping Equipment,Female,47,Married,Hospitality
Camping Equipment,Female,47,Married,Hospitality
Mountaineering Equipment,Female,27,Single,Professional
Personal Accessories,Female,27,Single,Professional
Mountaineering Equipment,Female,28,Married,Professional
Camping Equipment,Female,46,Married,Hospitality
Golf Equipment,Male,50,Unspecified,Other
Golf Equipment,Male,50,Unspecified,Other
Personal Accessories,Male,19,Single,Student
Camping Equipment,Male,33,Married,Executive
Golf Equipment,Male,42,Married,Professional
Mountaineering Equipment,Female,38,Married,Other
Mountaineering Equipment,Female,39,Unspecified,Professional
Personal Accessories,Male,19,Single,Professional
Personal Accessories,Male,19,Single,Professional
Mountaineering Equipment,Male,41,Married,Other
Golf Equipment,Male,42,Married,Trades
Mountaineering Equipment,Male,24,Unspecified,Other
Mountaineering Equipment,Male,24,Unspecified,Other
Camping Equipment,Male,23,Single,Other
Camping Equipment,Male,23,Single,Other
Camping Equipment,Male,28,Married,Sales
Camping Equipment,Male,32,Married,Sales
Personal Accessories,Female,22,Single,Professional
Camping Equipment,Male,43,Married,Sales
Personal Accessories,Female,43,Unspecified,Sales
Personal Accessories,Female,29,Single,Student
Personal Accessories,Female,26,Single,Retail
Personal Accessories,Female,35,Married,Professional
Camping Equipment,Male,22,Single,Student
Camping Equipment,Male,22,Single,Student
Golf Equipment,Male,29,Married,Executive
Golf Equipment,Male,29,Married,Executive
Personal Accessories,Female,42,Married,Sales
Camping Equipment,Male,56,Married,Professional
Outdoor Protection,Male,56,Married,Professional
Camping Equipment,Female,41,Married,Other
Camping Equipment,Female,41,Married,Other
Camping Equipment,Female,25,Single,Hospitality
Personal Accessories,Female,38,Married,Professional
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Male,20,Single,Retail
Camping Equipment,Female,22,Single,Other
Camping Equipment,Female,22,Single,Other
Camping Equipment,Male,33,Married,Executive
Golf Equipment,Female,50,Married,Other
Golf Equipment,Female,50,Married,Other
Golf Equipment,Female,50,Married,Other
Personal Accessories,Female,42,Married,Other
Personal Accessories,Female,58,Unspecified,Hospitality
Personal Accessories,Female,21,Single,Retail
Camping Equipment,Male,27,Single,Other
Golf Equipment,Male,43,Married,Retired
Golf Equipment,Male,43,Married,Retired
Camping Equipment,Female,44,Married,Executive
Camping Equipment,Female,44,Married,Executive
Camping Equipment,Male,22,Single,Trades
Camping Equipment,Male,22,Single,Trades
Personal Accessories,Female,40,Married,Other
Camping Equipment,Female,40,Married,Other
Mountaineering Equipment,Female,21,Single,Other
Mountaineering Equipment,Female,21,Single,Other
Camping Equipment,Female,30,Married,Other
Outdoor Protection,Female,30,Married,Other
Golf Equipment,Male,51,Married,Other
Camping Equipment,Male,37,Married,Trades
Mountaineering Equipment,Male,37,Married,Trades
Camping Equipment,Male,37,Married,Trades
Personal Accessories,Female,59,Married,Retired
Mountaineering Equipment,Female,29,Single,Other
Mountaineering Equipment,Female,29,Single,Other
Mountaineering Equipment,Female,29,Single,Other
Mountaineering Equipment,Female,29,Single,Other
Camping Equipment,Male,39,Married,Other
Camping Equipment,Male,23,Single,Trades
Personal Accessories,Female,25,Single,Student
Golf Equipment,Male,42,Unspecified,Other
Personal Accessories,Male,29,Single,Professional
Personal Accessories,Male,39,Married,Executive
Personal Accessories,Female,27,Single,Retail
Personal Accessories,Female,29,Single,Sales
Camping Equipment,Female,25,Single,Other
Camping Equipment,Male,29,Single,Trades
Golf Equipment,Male,29,Single,Trades
Personal Accessories,Male,29,Single,Trades
Personal Accessories,Male,29,Single,Trades
Personal Accessories,Female,36,Single,Other
Personal Accessories,Male,22,Single,Student
Camping Equipment,Female,31,Married,Retail
Outdoor Protection,Female,31,Married,Retail
Personal Accessories,Female,31,Married,Retail
Mountaineering Equipment,Male,19,Single,Student
Mountaineering Equipment,Male,19,Single,Student
Mountaineering Equipment,Male,19,Single,Student
Mountaineering Equipment,Male,19,Single,Student
Camping Equipment,Female,46,Married,Other
Camping Equipment,Female,46,Married,Other
Camping Equipment,Female,36,Married,Other
Camping Equipment,Female,40,Married,Other
Outdoor Protection,Female,40,Married,Other
Camping Equipment,Male,20,Single,Professional
Camping Equipment,Male,38,Unspecified,Sales
Golf Equipment,Male,38,Unspecified,Sales
Golf Equipment,Male,38,Unspecified,Sales
Golf Equipment,Male,38,Unspecified,Sales
Personal Accessories,Female,21,Single,Retail
Personal Accessories,Female,19,Single,Professional
Camping Equipment,Male,33,Married,Sales
Camping Equipment,Male,33,Married,Sales
Personal Accessories,Female,58,Married,Retired
Camping Equipment,Male,39,Married,Trades
Camping Equipment,Male,39,Married,Trades
Camping Equipment,Male,29,Single,Sales
Camping Equipment,Male,29,Single,Sales
Camping Equipment,Female,39,Married,Other
Camping Equipment,Female,39,Married,Other
Golf Equipment,Male,58,Married,Trades
Golf Equipment,Male,58,Married,Trades
Mountaineering Equipment,Female,27,Single,Other
Personal Accessories,Female,36,Married,Executive
Camping Equipment,Male,29,Single,Other
Camping Equipment,Male,41,Married,Sales
Mountaineering Equipment,Male,41,Married,Sales
Personal Accessories,Female,32,Married,Professional
Personal Accessories,Female,25,Single,Student
Personal Accessories,Female,31,Married,Executive
Golf Equipment,Female,30,Married,Hospitality
Personal Accessories,Female,43,Married,Other
Personal Accessories,Female,52,Married,Other
Mountaineering Equipment,Male,29,Single,Trades
Personal Accessories,Female,29,Married,Sales
Camping Equipment,Female,26,Single,Hospitality
Camping Equipment,Female,26,Single,Hospitality
Camping Equipment,Male,22,Single,Student
Mountaineering Equipment,Male,40,Single,Other
Mountaineering Equipment,Male,40,Single,Other
Camping Equipment,Male,40,Single,Other
Personal Accessories,Female,20,Single,Other
Golf Equipment,Female,57,Married,Other
Personal Accessories,Female,52,Married,Other
Outdoor Protection,Female,52,Married,Other
Camping Equipment,Male,30,Single,Other
Camping Equipment,Female,39,Single,Retail
Camping Equipment,Female,39,Single,Retail
Mountaineering Equipment,Female,26,Unspecified,Professional
Personal Accessories,Female,26,Unspecified,Professional
Mountaineering Equipment,Female,28,Single,Other
Personal Accessories,Female,28,Single,Other
Camping Equipment,Female,47,Married,Executive
Personal Accessories,Male,24,Single,Other
Camping Equipment,Male,23,Single,Student
Personal Accessories,Male,23,Single,Student
Personal Accessories,Female,39,Single,Professional
Mountaineering Equipment,Female,34,Married,Professional
Mountaineering Equipment,Female,34,Married,Professional
Personal Accessories,Female,28,Single,Retail
Mountaineering Equipment,Male,20,Single,Other
Mountaineering Equipment,Male,20,Single,Other
Camping Equipment,Female,29,Single,Other
Personal Accessories,Male,25,Single,Professional
Camping Equipment,Male,32,Single,Professional
Personal Accessories,Female,24,Single,Other
Personal Accessories,Female,46,Married,Professional
Mountaineering Equipment,Male,25,Single,Student
Mountaineering Equipment,Male,25,Single,Student
Golf Equipment,Male,25,Single,Student
Camping Equipment,Male,37,Married,Sales
Personal Accessories,Female,34,Single,Other
Personal Accessories,Male,31,Married,Professional
Golf Equipment,Male,57,Married,Other
Golf Equipment,Male,57,Married,Other
Golf Equipment,Male,57,Married,Other
Personal Accessories,Female,28,Single,Retail
Personal Accessories,Female,45,Married,Other
Camping Equipment,Female,49,Married,Executive
Outdoor Protection,Female,49,Married,Executive
Mountaineering Equipment,Male,43,Single,Professional
Mountaineering Equipment,Male,37,Single,Professional
Camping Equipment,Male,37,Single,Professional
Golf Equipment,Male,57,Married,Trades
Golf Equipment,Male,57,Married,Trades
Golf Equipment,Male,57,Married,Trades
Personal Accessories,Female,38,Married,Retail
Mountaineering Equipment,Female,25,Single,Professional
Camping Equipment,Male,25,Unspecified,Sales
Golf Equipment,Male,25,Unspecified,Sales
Golf Equipment,Female,32,Married,Hospitality
Mountaineering Equipment,Female,26,Married,Other
Outdoor Protection,Female,26,Married,Other
Golf Equipment,Female,28,Single,Professional
Personal Accessories,Female,44,Unspecified,Hospitality
Personal Accessories,Male,24,Single,Professional
Camping Equipment,Female,46,Married,Executive
Camping Equipment,Female,38,Unspecified,Hospitality
Camping Equipment,Female,26,Single,Other
Camping Equipment,Female,39,Unspecified,Hospitality
Outdoor Protection,Female,39,Unspecified,Hospitality
Camping Equipment,Male,38,Married,Sales
Camping Equipment,Male,38,Married,Sales
Golf Equipment,Male,38,Married,Sales
Golf Equipment,Male,42,Unspecified,Other
Camping Equipment,Male,42,Married,Trades
Personal Accessories,Female,29,Single,Other
Personal Accessories,Female,69,Married,Retired
Personal Accessories,Female,21,Single,Retail
Personal Accessories,Female,20,Single,Other
Mountaineering Equipment,Male,37,Married,Other
Personal Accessories,Male,37,Married,Other
Personal Accessories,Female,47,Married,Professional
Personal Accessories,Male,20,Single,Other
Camping Equipment,Male,20,Single,Other
Golf Equipment,Male,44,Married,Other
Golf Equipment,Male,44,Married,Other
Camping Equipment,Male,41,Married,Sales
Golf Equipment,Male,45,Unspecified,Other
Personal Accessories,Male,45,Unspecified,Other
Camping Equipment,Female,46,Married,Executive
Mountaineering Equipment,Female,39,Married,Professional
Golf Equipment,Male,47,Married,Professional
Golf Equipment,Male,47,Married,Professional
Personal Accessories,Female,61,Married,Other
Mountaineering Equipment,Female,26,Married,Professional
Mountaineering Equipment,Female,26,Married,Professional
Golf Equipment,Male,48,Unspecified,Other
Golf Equipment,Male,48,Unspecified,Other
Golf Equipment,Male,48,Unspecified,Other
Personal Accessories,Female,23,Single,Professional
Camping Equipment,Female,35,Married,Other
Personal Accessories,Female,29,Single,Professional
Camping Equipment,Male,27,Single,Professional
Camping Equipment,Male,27,Single,Professional
Camping Equipment,Male,42,Married,Executive
Camping Equipment,Female,25,Married,Retail
Personal Accessories,Male,38,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Female,39,Married,Other
Personal Accessories,Female,18,Single,Professional
Mountaineering Equipment,Female,31,Married,Other
Camping Equipment,Male,24,Single,Executive
Golf Equipment,Female,45,Married,Other
Personal Accessories,Female,31,Single,Other
Camping Equipment,Male,28,Single,Professional
Mountaineering Equipment,Male,36,Unspecified,Trades
Camping Equipment,Female,38,Married,Other
Personal Accessories,Female,66,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Male,38,Married,Other
Camping Equipment,Female,35,Married,Executive
Outdoor Protection,Female,35,Married,Executive
Personal Accessories,Female,46,Married,Other
Personal Accessories,Female,23,Single,Other
Camping Equipment,Male,28,Single,Professional
Camping Equipment,Male,26,Married,Executive
Golf Equipment,Male,59,Married,Trades
Golf Equipment,Male,59,Married,Trades
Personal Accessories,Male,25,Married,Professional
Camping Equipment,Male,33,Married,Other
Mountaineering Equipment,Male,33,Married,Other
Personal Accessories,Male,33,Married,Other
Personal Accessories,Female,26,Single,Student
Camping Equipment,Male,30,Married,Executive
Outdoor Protection,Female,20,Single,Professional
Camping Equipment,Female,20,Single,Professional
Personal Accessories,Female,30,Married,Other
Camping Equipment,Male,32,Married,Executive
Camping Equipment,Female,34,Married,Other
Personal Accessories,Female,41,Married,Other
Camping Equipment,Male,36,Married,Executive
Mountaineering Equipment,Male,22,Single,Retail
Personal Accessories,Female,45,Unspecified,Hospitality
Camping Equipment,Female,49,Married,Executive
Camping Equipment,Female,49,Married,Executive
Camping Equipment,Female,49,Married,Executive
Camping Equipment,Female,49,Married,Executive
Outdoor Protection,Female,49,Married,Executive
Camping Equipment,Male,40,Married,Sales
Personal Accessories,Female,19,Single,Retail
Personal Accessories,Female,32,Single,Other
Camping Equipment,Female,48,Unspecified,Hospitality
Outdoor Protection,Female,48,Unspecified,Hospitality
Mountaineering Equipment,Male,29,Single,Other
Camping Equipment,Female,19,Single,Student
Camping Equipment,Female,19,Single,Student
Personal Accessories,Male,32,Married,Other
Personal Accessories,Male,22,Single,Sales
Camping Equipment,Male,22,Single,Sales
Personal Accessories,Female,39,Single,Professional
Mountaineering Equipment,Female,36,Married,Professional
Personal Accessories,Female,36,Married,Professional
Outdoor Protection,Male,22,Single,Student
Camping Equipment,Female,35,Married,Executive
Camping Equipment,Female,33,Married,Other
Camping Equipment,Male,42,Married,Other
Outdoor Protection,Male,42,Married,Other
Camping Equipment,Male,37,Married,Other
Camping Equipment,Male,37,Married,Other
Mountaineering Equipment,Male,43,Single,Sales
Mountaineering Equipment,Male,43,Single,Sales
Mountaineering Equipment,Male,41,Married,Other
Camping Equipment,Female,35,Married,Other
Outdoor Protection,Female,35,Married,Other
Camping Equipment,Female,43,Married,Other
Outdoor Protection,Female,43,Married,Other
Personal Accessories,Female,23,Single,Other
Camping Equipment,Female,20,Single,Other
Camping Equipment,Male,40,Married,Executive
Camping Equipment,Male,24,Single,Professional
Camping Equipment,Female,52,Married,Professional
Camping Equipment,Female,52,Married,Professional
Personal Accessories,Female,61,Married,Other
Outdoor Protection,Female,61,Married,Other
Mountaineering Equipment,Female,29,Single,Professional
Mountaineering Equipment,Female,29,Single,Professional
Camping Equipment,Male,28,Single,Professional
Personal Accessories,Male,28,Single,Professional
Personal Accessories,Male,20,Single,Student
Mountaineering Equipment,Male,28,Single,Other
Personal Accessories,Male,28,Single,Other
Camping Equipment,Male,28,Single,Other
Personal Accessories,Female,21,Single,Other
Camping Equipment,Female,21,Single,Hospitality
Camping Equipment,Female,35,Married,Other
Outdoor Protection,Female,35,Married,Other
Camping Equipment,Male,36,Married,Executive
Golf Equipment,Male,48,Unspecified,Other
Golf Equipment,Male,48,Unspecified,Other
Personal Accessories,Male,28,Single,Professional
Mountaineering Equipment,Male,21,Unspecified,Other
Mountaineering Equipment,Male,40,Single,Executive
Camping Equipment,Male,40,Single,Executive
Mountaineering Equipment,Male,40,Single,Executive
Camping Equipment,Male,40,Single,Executive
Personal Accessories,Female,50,Married,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Female,24,Single,Other
Personal Accessories,Male,29,Married,Other
Personal Accessories,Male,29,Married,Other
Personal Accessories,Male,27,Single,Other
Golf Equipment,Female,56,Married,Other
Personal Accessories,Male,17,Single,Student
Personal Accessories,Male,27,Single,Professional
Personal Accessories,Male,38,Married,Other
Mountaineering Equipment,Male,31,Married,Other
Mountaineering Equipment,Male,31,Married,Other
Mountaineering Equipment,Male,31,Married,Other
Mountaineering Equipment,Male,31,Married,Other
Personal Accessories,Male,31,Married,Other
Camping Equipment,Male,48,Married,Professional
Camping Equipment,Male,48,Married,Professional
Golf Equipment,Male,39,Unspecified,Sales
Golf Equipment,Male,39,Unspecified,Sales
Camping Equipment,Male,23,Single,Professional
Camping Equipment,Male,23,Single,Professional
Mountaineering Equipment,Female,28,Single,Other
Personal Accessories,Female,41,Married,Executive
Personal Accessories,Female,22,Single,Professional
Camping Equipment,Female,42,Unspecified,Hospitality
Golf Equipment,Male,57,Married,Other
Golf Equipment,Male,57,Married,Other
Mountaineering Equipment,Male,20,Single,Sales
Camping Equipment,Male,20,Single,Sales
Mountaineering Equipment,Male,20,Single,Sales
Personal Accessories,Male,20,Single,Sales
Mountaineering Equipment,Male,36,Single,Executive
Personal Accessories,Male,36,Single,Executive
Personal Accessories,Female,26,Single,Retail
Golf Equipment,Female,44,Married,Other
Personal Accessories,Female,23,Single,Student
Camping Equipment,Male,28,Married,Executive
Personal Accessories,Female,37,Single,Professional
Golf Equipment,Male,45,Married,Professional
Golf Equipment,Male,45,Married,Professional
Golf Equipment,Male,45,Married,Professional
Mountaineering Equipment,Male,38,Single,Other
Personal Accessories,Female,25,Single,Professional
Golf Equipment,Male,41,Unspecified,Other
Golf Equipment,Male,41,Unspecified,Other
Camping Equipment,Male,44,Married,Executive
Camping Equipment,Male,44,Married,Executive
Camping Equipment,Female,42,Married,Other
Camping Equipment,Female,42,Married,Other
Camping Equipment,Female,42,Married,Other
Personal Accessories,Female,30,Single,Professional
Personal Accessories,Female,36,Married,Professional
Camping Equipment,Male,24,Single,Professional
Camping Equipment,Male,24,Single,Professional
Personal Accessories,Male,45,Unspecified,Trades
Personal Accessories,Female,40,Married,Executive
Outdoor Protection,Female,40,Married,Executive
Personal Accessories,Female,35,Married,Executive
Camping Equipment,Male,41,Single,Other
Mountaineering Equipment,Male,36,Single,Sales
Mountaineering Equipment,Male,36,Single,Sales
Mountaineering Equipment,Male,36,Single,Sales
Camping Equipment,Male,36,Single,Sales
Camping Equipment,Female,28,Single,Hospitality
Camping Equipment,Female,28,Single,Hospitality
Camping Equipment,Female,28,Single,Hospitality
Mountaineering Equipment,Male,46,Married,Professional
Mountaineering Equipment,Male,34,Single,Trades
Mountaineering Equipment,Female,21,Unspecified,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Female,24,Single,Other
Mountaineering Equipment,Male,27,Single,Other
Camping Equipment,Male,40,Married,Executive
Golf Equipment,Female,51,Married,Other
Camping Equipment,Female,25,Single,Student
Camping Equipment,Female,25,Single,Student
Mountaineering Equipment,Male,38,Single,Professional
Personal Accessories,Female,22,Single,Professional
Camping Equipment,Male,34,Married,Other
Camping Equipment,Male,34,Married,Other
Camping Equipment,Male,26,Single,Sales
Camping Equipment,Male,43,Married,Sales
Camping Equipment,Male,43,Married,Sales
Camping Equipment,Male,43,Married,Sales
Personal Accessories,Female,28,Single,Retail
Camping Equipment,Female,30,Unspecified,Sales
Camping Equipment,Female,30,Unspecified,Sales
Personal Accessories,Female,47,Married,Sales
Mountaineering Equipment,Female,29,Single,Student
Mountaineering Equipment,Female,29,Single,Student
Mountaineering Equipment,Female,24,Single,Other
Personal Accessories,Female,24,Single,Other
Outdoor Protection,Female,29,Married,Retail
Camping Equipment,Male,30,Single,Executive
Camping Equipment,Male,30,Single,Executive
Golf Equipment,Male,48,Married,Trades
Camping Equipment,Male,29,Married,Executive
Personal Accessories,Female,38,Single,Professional
Personal Accessories,Female,27,Married,Executive
Personal Accessories,Female,31,Single,Other
Mountaineering Equipment,Male,20,Single,Student
Personal Accessories,Male,20,Single,Student
Camping Equipment,Female,45,Married,Executive
Camping Equipment,Female,45,Married,Executive
